#     Step          Temp           Pot           Kin           Tot         Press
       105      0.757903      -1.23615      0.663165     -0.572988        1.3828
       106      0.753007      -1.23187      0.658881     -0.572992        1.4155
       107      0.748108      -1.22759      0.654594     -0.572997        1.4477
       108      0.743153      -1.22326      0.650259        -0.573        1.4795
       109        0.7381      -1.21884      0.645838     -0.573003         1.511
       110      0.732919      -1.21431      0.641304     -0.573005       1.54222
       111      0.727597      -1.20965      0.636647     -0.573006       1.57316
       112       0.72214      -1.20488      0.631873     -0.573005       1.60375
       113       0.71658      -1.20001      0.627007     -0.573004       1.63384
       114      0.710969       -1.1951      0.622098        -0.573       1.66324
       115      0.705386      -1.19021      0.617213     -0.572995       1.69165
       116      0.699935      -1.18543      0.612443     -0.572989       1.71875
       117      0.694737      -1.18088      0.607895     -0.572982       1.74411
       118      0.689932      -1.17667      0.603691     -0.572974       1.76729
       119      0.685672      -1.17293      0.599963     -0.572966       1.78782
       120      0.682111      -1.16981      0.596847     -0.572958        1.8052
       121      0.679398      -1.16742      0.594473     -0.572951       1.81897
       122      0.677672      -1.16591      0.592963     -0.572945       1.82872
       123      0.677044      -1.16535      0.592414     -0.572941        1.8341
       124      0.677598      -1.16584      0.592898     -0.572939       1.83486
       125      0.679373      -1.16739      0.594451      -0.57294        1.8309
       126      0.682363      -1.17001      0.597068     -0.572944       1.82224
       127      0.686512      -1.17365      0.600698     -0.572951       1.80907
       128       0.69171      -1.17821      0.605246     -0.572961       1.79174
       129      0.697796      -1.18354      0.610572     -0.572973       1.77074
       130      0.704564      -1.18948      0.616493     -0.572988       1.74672
       131      0.711767       -1.1958      0.622796     -0.573004       1.72045
       132      0.719132      -1.20226      0.629241     -0.573022       1.69275
       133      0.726369      -1.20861      0.635573     -0.573039       1.66453
       134      0.733186      -1.21459      0.641538     -0.573056       1.63668
       135      0.739302      -1.21996       0.64689     -0.573072       1.61006
       136      0.744464      -1.22449      0.651406     -0.573085       1.58544
       137       0.74846        -1.228      0.654903     -0.573095       1.56348
       138      0.751132      -1.23034       0.65724     -0.573102       1.54465
       139      0.752388      -1.23144      0.658339     -0.573103       1.52926
       140      0.752212      -1.23129      0.658186     -0.573101       1.51734
       141      0.750672      -1.22993      0.656838     -0.573093       1.50872
       142       0.74792      -1.22751       0.65443      -0.57308       1.50294
       143      0.744192      -1.22423      0.651168     -0.573063       1.49932
       144      0.739803      -1.22037      0.647327     -0.573041       1.49693
       145      0.735133      -1.21626      0.643242     -0.573017       1.49464
       146      0.730614      -1.21228      0.639287      -0.57299       1.49122
       147      0.726701      -1.20883      0.635864     -0.572964       1.48532
       148      0.723853      -1.20631      0.633371     -0.572939       1.47561
       149      0.722498       -1.2051      0.632185     -0.572917       1.46087
       150      0.723008      -1.20553      0.632632       -0.5729       1.44004
       151      0.725675      -1.20785      0.634965     -0.572888       1.41229
       152      0.730685      -1.21223       0.63935     -0.572883       1.37712
       153      0.738114      -1.21873       0.64585     -0.572884       1.33437
       154      0.747917      -1.22732      0.654428     -0.572892       1.28423
       155      0.759938      -1.23785      0.664945     -0.572905       1.22723
       156      0.773921       -1.2501      0.677181     -0.572923       1.16421
       157      0.789537      -1.26379      0.690845     -0.572943       1.09621
       158      0.806399      -1.27856      0.705599     -0.572965       1.02448
       159      0.824095      -1.29407      0.721083     -0.572986      0.950338
       160       0.84221      -1.30994      0.736933     -0.573007      0.875119
       161      0.860343      -1.32583        0.7528     -0.573025      0.800123
       162      0.878131      -1.34141      0.768365     -0.573041      0.726555
       163      0.895253       -1.3564      0.783347     -0.573053      0.655491
       164      0.911441      -1.37057      0.797511     -0.573063      0.587858
       165      0.926477      -1.38374      0.810667     -0.573069      0.524427
       166      0.940197      -1.39575      0.822672     -0.573073      0.465814
       167      0.952482       -1.4065      0.833422     -0.573075      0.412494
       168      0.963254      -1.41592      0.842847     -0.573076      0.364812
       169      0.972467      -1.42398      0.850909     -0.573074      0.323009
       170      0.980101      -1.43066      0.857588     -0.573073      0.287239
       171      0.986155      -1.43596      0.862885      -0.57307      0.257588
       172      0.990638      -1.43988      0.866808     -0.573068      0.234096
       173      0.993568      -1.44244      0.869372     -0.573066      0.216773
       174      0.994961      -1.44366      0.870591     -0.573064      0.205609
       175      0.994834      -1.44354      0.870479     -0.573063      0.200593
       176      0.993193      -1.44211      0.869044     -0.573063      0.201715
       177      0.990042      -1.43935      0.866287     -0.573064      0.208976
       178       0.98537      -1.43526      0.862199     -0.573065      0.222391
       179       0.97916      -1.42983      0.856765     -0.573068       0.24199
       180      0.971384      -1.42303      0.849961     -0.573071      0.267819
       181      0.962005      -1.41483      0.841754     -0.573075      0.299933
       182      0.950979      -1.40519      0.832107      -0.57308      0.338392
       183      0.938259      -1.39406      0.820977     -0.573085      0.383253
       184      0.923797      -1.38141      0.808322      -0.57309      0.434561
       185      0.907546       -1.3672      0.794103     -0.573095       0.49233
       186       0.88947      -1.35139      0.778287       -0.5731      0.556534
       187       0.86955      -1.33396      0.760856     -0.573103      0.627082
       188      0.847784      -1.31492      0.741811     -0.573106      0.703801
       189      0.824206      -1.29429       0.72118     -0.573106      0.786409
       190      0.798886      -1.27213      0.699025     -0.573103      0.874494
       191      0.771943      -1.24855       0.67545     -0.573097      0.967484
       192      0.743555       -1.2237      0.650611     -0.573088       1.06462
       193      0.713966      -1.19779       0.62472     -0.573074       1.16495
       194      0.683493      -1.17111      0.598056     -0.573056       1.26729
       195      0.652531        -1.144      0.570965     -0.573033       1.37021
       196      0.621553      -1.11686      0.543859     -0.573006       1.47208
       197      0.591106      -1.09019      0.517218     -0.572974       1.57105
       198      0.561803      -1.06452      0.491578      -0.57294       1.66507
       199      0.534301      -1.04042      0.467513     -0.572903       1.75201
       200       0.50928      -1.01849       0.44562     -0.572867       1.82965
       201      0.487414      -0.99932      0.426487     -0.572833       1.89585
       202      0.469332     -0.983468      0.410666     -0.572802       1.94861
       203      0.455586     -0.971416      0.398638     -0.572778       1.98619
       204       0.44661     -0.963546      0.390784     -0.572762       2.00721
       205      0.442693     -0.960112      0.387356     -0.572755       2.01078
       206      0.443955     -0.961219      0.388461     -0.572759        1.9965
       207      0.450338     -0.966817      0.394046     -0.572772       1.96453
       208      0.461607       -0.9767      0.403906     -0.572793       1.91559
       209      0.477368     -0.990519      0.417697     -0.572823        1.8509
       210      0.497089      -1.00781      0.434953     -0.572857        1.7721
       211      0.520141      -1.02802      0.455123     -0.572895       1.68114
       212      0.545831      -1.05053      0.477602     -0.572933       1.58019
       213      0.573444      -1.07473      0.501764      -0.57297       1.47153
       214       0.60228          -1.1      0.526995     -0.573004       1.35738
       215      0.631678      -1.12575      0.552718     -0.573034        1.2399
       216      0.661045      -1.15147      0.578415      -0.57306       1.12104
       217      0.689869      -1.17671      0.603635     -0.573079       1.00253
       218      0.717724       -1.2011      0.628009     -0.573094      0.885857
       219      0.744276      -1.22434      0.651242     -0.573103      0.772222
       220      0.769276      -1.24622      0.673116     -0.573108      0.662584
       221      0.792553      -1.26659      0.693484     -0.573109      0.557655
       222      0.814007      -1.28536      0.712256     -0.573107      0.457932
       223      0.833598       -1.3025      0.729398     -0.573102       0.36372
       224      0.851333      -1.31801      0.744916     -0.573095      0.275165
       225      0.867258      -1.33194       0.75885     -0.573087      0.192283
       226      0.881449      -1.34435      0.771268     -0.573078      0.114985
       227      0.894003      -1.35532      0.782253     -0.573068     0.0431008
       228      0.905032      -1.36496      0.791903     -0.573058     -0.023598
       229      0.914656      -1.37337      0.800324     -0.573048    -0.0853813
       230      0.922999      -1.38066      0.807624     -0.573038     -0.142545
       231      0.930185      -1.38694      0.813912     -0.573029       -0.1954
       232      0.936336      -1.39231      0.819294      -0.57302      -0.24426
       233       0.94157      -1.39689      0.823874     -0.573012     -0.289438
       234      0.945997      -1.40075      0.827748     -0.573004     -0.331235
       235      0.949722        -1.404      0.831007     -0.572997     -0.369942
       236      0.952841      -1.40673      0.833736     -0.572991     -0.405831
       237      0.955442        -1.409      0.836011     -0.572985     -0.439159
       238      0.957605      -1.41088      0.837904      -0.57298      -0.47016
       239      0.959403      -1.41245      0.839477     -0.572975     -0.499049
       240      0.960899      -1.41376      0.840787     -0.572971     -0.526023
       241      0.962152      -1.41485      0.841883     -0.572967     -0.551254
       242      0.963209      -1.41577      0.842808     -0.572964     -0.574899
       243      0.964114      -1.41656        0.8436     -0.572962     -0.597093
       244      0.964904      -1.41725      0.844291     -0.572959     -0.617952
       245      0.965609      -1.41787      0.844908     -0.572958     -0.637578
       246      0.966271      -1.41846      0.845488     -0.572969      -0.65609
       247       0.96691      -1.41901      0.846046     -0.572968     -0.673514
       248      0.967523      -1.41955      0.846582     -0.572967     -0.689904
       249       0.96812      -1.42007      0.847105     -0.572966     -0.705301
       250      0.968708      -1.42059       0.84762     -0.572966     -0.719729
       251       0.96929       -1.4211      0.848129     -0.572966     -0.733201
