#     Step          Temp           Pot           Kin           Tot         Press
       105       119.859       -1.2604      0.353968     -0.906432     0.0190341
       106       120.064      -1.26101      0.354573     -0.906433     0.0189403
       107       120.283      -1.26165      0.355219     -0.906433     0.0188517
       108       120.516      -1.26234      0.355907     -0.906432     0.0187438
       109       120.765      -1.26307      0.356644     -0.906431     0.0186311
       110       121.034      -1.26387      0.357438     -0.906429     0.0185109
       111       121.327      -1.26473      0.358303     -0.906428     0.0183856
       112        121.65      -1.26569      0.359258     -0.906427     0.0182538
       113        122.01      -1.26675      0.360321     -0.906425     0.0180977
       114       122.412      -1.26793      0.361509     -0.906423     0.0179372
       115       122.863      -1.26926      0.362838     -0.906422     0.0177678
       116       123.364      -1.27074       0.36432     -0.906421      0.017579
       117       123.919      -1.27238      0.365957     -0.906421     0.0173771
       118       124.525      -1.27417      0.367749     -0.906421     0.0171626
       119       125.181      -1.27611      0.369686     -0.906422     0.0169382
       120        125.88      -1.27817      0.371751     -0.906424     0.0166961
       121       126.614      -1.28034      0.373918     -0.906425     0.0164502
       122       127.372      -1.28258      0.376157     -0.906428     0.0162003
       123       128.143      -1.28486      0.378433      -0.90643      0.015945
       124       128.914      -1.28714      0.380708     -0.906432      0.015688
       125       129.671      -1.28938      0.382946     -0.906434      0.015446
       126       130.403      -1.29154      0.385108     -0.906437     0.0152112
       127       131.099       -1.2936      0.387163     -0.906437     0.0149787
       128       131.749      -1.29552      0.389082     -0.906438      0.014761
       129       132.345      -1.29728      0.390841      -0.90644      0.014564
       130       132.879      -1.29886       0.39242      -0.90644     0.0143846
       131       133.349      -1.30025      0.393807     -0.906441     0.0142259
       132       133.751      -1.30143      0.394994     -0.906441      0.014094
       133       134.083      -1.30242      0.395975     -0.906441     0.0139779
       134       134.346      -1.30319      0.396751     -0.906441     0.0138927
       135       134.538      -1.30376       0.39732     -0.906441     0.0138271
       136       134.662      -1.30412      0.397684     -0.906441     0.0137779
       137       134.716      -1.30429      0.397845     -0.906441     0.0137596
       138       134.702      -1.30424      0.397804     -0.906441     0.0137625
       139       134.619        -1.304      0.397559     -0.906441     0.0137866
       140       134.467      -1.30355      0.397108     -0.906442     0.0138336
       141       134.243      -1.30289      0.396448     -0.906443     0.0139088
       142       133.946      -1.30201      0.395571     -0.906444     0.0140043
       143       133.574      -1.30092      0.394471     -0.906444     0.0141174
       144       133.124      -1.29959      0.393142     -0.906445     0.0142614
       145       132.594      -1.29802      0.391578     -0.906446     0.0144204
       146       131.983      -1.29622      0.389774     -0.906446     0.0146058
       147       131.291      -1.29418       0.38773     -0.906445     0.0148255
       148        130.52       -1.2919      0.385451     -0.906445     0.0150625
       149       129.671      -1.28939      0.382945     -0.906445     0.0153272
       150        128.75      -1.28667      0.380225     -0.906443     0.0156179
       151       127.764      -1.28376      0.377314     -0.906442     0.0159242
       152       126.722      -1.28068      0.374237      -0.90644      0.016237
       153       125.634      -1.27746      0.371024     -0.906437     0.0165662
       154       124.513      -1.27415      0.367712     -0.906435     0.0169033
       155       123.371      -1.27077       0.36434     -0.906432     0.0172562
       156       122.221      -1.26737      0.360945      -0.90643     0.0176011
       157       121.078        -1.264       0.35757     -0.906427     0.0179472
       158       119.956      -1.26068      0.354255     -0.906425     0.0182901
       159       118.869      -1.25747      0.351045     -0.906423     0.0186259
       160       117.831       -1.2544       0.34798      -0.90642     0.0189406
       161       116.857      -1.25152      0.345102     -0.906418     0.0192433
       162       115.959      -1.24886       0.34245     -0.906415     0.0195185
       163        115.15      -1.24647      0.340062     -0.906413     0.0197677
       164       114.443      -1.24438      0.337973     -0.906411     0.0199873
       165       113.847      -1.24262      0.336213      -0.90641     0.0201746
       166       113.371      -1.24122      0.334807     -0.906409     0.0203301
       167       113.021      -1.24018      0.333776     -0.906408     0.0204424
       168       112.803      -1.23954      0.333129     -0.906408     0.0205199
       169       112.715      -1.23928      0.332872     -0.906408     0.0205605
       170       112.758      -1.23941      0.332999     -0.906409     0.0205663
       171       112.927      -1.23991      0.333497      -0.90641     0.0205335
       172       113.214      -1.24076      0.334345     -0.906411     0.0204639
       173        113.61      -1.24193      0.335515     -0.906413     0.0203649
       174       114.105      -1.24339      0.336974     -0.906415     0.0202231
       175       114.685      -1.24511      0.338688     -0.906418     0.0200681
       176       115.339      -1.24704      0.340618     -0.906419     0.0198837
       177       116.052      -1.24915      0.342725     -0.906422     0.0196802
       178       116.813       -1.2514      0.344972     -0.906424     0.0194677
       179       117.609      -1.25375      0.347322     -0.906425     0.0192447
       180       118.428      -1.25617      0.349741     -0.906427         0.019
       181       119.259      -1.25863      0.352197     -0.906429     0.0187466
       182       120.093      -1.26109      0.354659     -0.906431     0.0185005
       183       120.919      -1.26353      0.357099     -0.906433     0.0182566
       184       121.727      -1.26592      0.359486     -0.906435     0.0180114
       185       122.508      -1.26823      0.361793     -0.906436     0.0177791
       186       123.253      -1.27043      0.363991     -0.906438      0.017551
       187       123.952      -1.27249      0.366055     -0.906439     0.0173396
       188       124.597       -1.2744      0.367961      -0.90644      0.017139
       189       125.182      -1.27613      0.369689      -0.90644     0.0169527
       190       125.703      -1.27767      0.371226      -0.90644     0.0167855
       191       126.156      -1.27901      0.372566     -0.906441     0.0166346
       192       126.543      -1.28015      0.373708      -0.90644     0.0165004
       193       126.866       -1.2811      0.374662     -0.906439     0.0163855
       194       127.128      -1.28187      0.375437     -0.906438     0.0162921
       195       127.336      -1.28249       0.37605     -0.906436      0.016214
       196       127.496      -1.28296      0.376522     -0.906435     0.0161446
       197       127.614       -1.2833       0.37687     -0.906433     0.0160805
       198       127.696      -1.28354      0.377112     -0.906432      0.016025
       199       127.748       -1.2837      0.377265     -0.906431     0.0159996
       200       127.773      -1.28377       0.37734     -0.906431     0.0159637
       201       127.776      -1.28378      0.377348      -0.90643     0.0159408
       202        127.76      -1.28373      0.377301     -0.906429     0.0159169
       203       127.729      -1.28364       0.37721      -0.90643     0.0159088
       204       127.686      -1.28351      0.377084     -0.906429     0.0159041
       205       127.637      -1.28337      0.376939     -0.906428     0.0159032
       206       127.586      -1.28321      0.376787     -0.906428     0.0158935
       207       127.536      -1.28307      0.376641     -0.906427     0.0158836
       208       127.494      -1.28294      0.376515     -0.906426     0.0158676
       209       127.461      -1.28284      0.376418     -0.906425     0.0158558
       210       127.441      -1.28278      0.376358     -0.906425     0.0158444
       211       127.435      -1.28277      0.376341     -0.906425     0.0158248
       212       127.443      -1.28279      0.376367     -0.906426     0.0157987
       213       127.465      -1.28286      0.376431     -0.906427     0.0157795
       214       127.498      -1.28296      0.376529     -0.906427     0.0157646
       215        127.54      -1.28308      0.376652     -0.906428     0.0157381
       216       127.587      -1.28322       0.37679     -0.906429     0.0157078
       217       127.635      -1.28336      0.376933      -0.90643     0.0156841
       218       127.681       -1.2835      0.377069     -0.906431     0.0156568
       219       127.722      -1.28362      0.377189     -0.906432     0.0156382
       220       127.753      -1.28371      0.377281     -0.906433     0.0156227
       221       127.771      -1.28377      0.377333     -0.906434     0.0156016
       222       127.771      -1.28377      0.377335     -0.906436     0.0155904
       223       127.752      -1.28371      0.377277     -0.906437     0.0155835
       224       127.708      -1.28358      0.377148     -0.906437       0.01558
