#     Step          Temp           Pot           Kin           Tot         Press
       109       2.57304     -0.590769       2.56497        1.9742       1.64069
       110       2.57405     -0.591764       2.56598       1.97421       1.64804
       111       2.57505     -0.592759       2.56698       1.97422        1.6552
       112       2.57618      -0.59388       2.56811       1.97423       1.66213
       113       2.57755     -0.595238       2.56947       1.97423       1.66836
       114       2.57922     -0.596904       2.57114       1.97423       1.67384
       115       2.58122     -0.598904       2.57313       1.97423        1.6784
       116       2.58352     -0.601203       2.57543       1.97422       1.68216
       117       2.58604     -0.603717       2.57793       1.97421       1.68553
       118       2.58865     -0.606325       2.58053       1.97421       1.68865
       119       2.59121      -0.60889       2.58309        1.9742       1.69154
       120       2.59361     -0.611286       2.58548       1.97419       1.69484
       121       2.59575     -0.613423       2.58761       1.97419       1.69855
       122       2.59759     -0.615257       2.58945       1.97419       1.70287
       123       2.59915     -0.616806         2.591       1.97419       1.70741
       124        2.6005     -0.618145       2.59235        1.9742       1.71225
       125       2.60175     -0.619384        2.5936       1.97421       1.71714
       126       2.60303     -0.620652       2.59487       1.97422       1.72206
       127       2.60445     -0.622065       2.59629       1.97422       1.72634
       128        2.6061     -0.623702       2.59793       1.97423       1.73006
       129       2.60799     -0.625595       2.59982       1.97422       1.73284
       130       2.61012     -0.627721       2.60194       1.97422       1.73503
       131       2.61243     -0.630023       2.60424       1.97422       1.73694
       132       2.61483     -0.632422       2.60663       1.97421       1.73843
       133       2.61725      -0.63484       2.60905       1.97421       1.73968
       134       2.61962     -0.637205       2.61141        1.9742       1.74096
       135       2.62189     -0.639467       2.61367        1.9742       1.74233
       136       2.62402     -0.641596        2.6158        1.9742       1.74363
       137         2.626     -0.643569       2.61777        1.9742        1.7454
       138        2.6278     -0.645359       2.61956        1.9742       1.74722
       139       2.62937     -0.646933       2.62113        1.9742       1.74959
       140       2.63068     -0.648244       2.62244       1.97419       1.75239
       141       2.63167     -0.649237       2.62342       1.97419       1.75573
       142       2.63228     -0.649849       2.62403       1.97418       1.75991
       143       2.63246     -0.650024        2.6242       1.97418       1.76513
       144       2.63215      -0.64972        2.6239       1.97418       1.77111
       145       2.63134     -0.648918        2.6231       1.97418       1.77794
       146       2.63006     -0.647637       2.62182       1.97418       1.78574
       147       2.62835     -0.645929       2.62011       1.97418       1.79438
       148       2.62631     -0.643886       2.61808       1.97419       1.80354
       149       2.62405     -0.641628       2.61583        1.9742       1.81301
       150       2.62173     -0.639302       2.61351       1.97421       1.82263
       151       2.61948     -0.637053       2.61127       1.97422        1.8319
       152       2.61745     -0.635021       2.60924       1.97422       1.84044
       153       2.61574     -0.633312       2.60754       1.97423       1.84814
       154       2.61442     -0.631995       2.60622       1.97423       1.85447
       155       2.61351     -0.631094       2.60532       1.97422       1.85994
       156         2.613     -0.630589       2.60481       1.97422        1.8643
       157       2.61283     -0.630424       2.60464       1.97421       1.86758
       158       2.61292     -0.630519       2.60473       1.97421          1.87
       159       2.61319     -0.630796         2.605        1.9742       1.87182
       160       2.61359     -0.631195        2.6054        1.9742       1.87275
       161       2.61409     -0.631691       2.60589        1.9742       1.87325
       162       2.61471     -0.632307       2.60651       1.97421       1.87306
       163       2.61553      -0.63312       2.60733       1.97421       1.87203
       164       2.61669     -0.634261       2.60849       1.97423       1.87004
       165       2.61834     -0.635896       2.61013       1.97424       1.86674
       166       2.62068     -0.638217       2.61247       1.97425       1.86149
       167        2.6239     -0.641411       2.61567       1.97426       1.85408
       168       2.62814     -0.645631        2.6199       1.97427       1.84403
       169       2.63348      -0.65096       2.62523       1.97427       1.83141
       170       2.63994     -0.657395       2.63166       1.97426        1.8162
       171       2.64739      -0.66484       2.63909       1.97425       1.79857
       172       2.65568      -0.67311       2.64735       1.97424       1.77889
       173       2.66453     -0.681954       2.65618       1.97422       1.75775
       174       2.67368     -0.691089        2.6653       1.97421       1.73578
       175       2.68283      -0.70023       2.67442       1.97419       1.71371
       176       2.69173     -0.709107       2.68329       1.97418       1.69217
       177       2.70013     -0.717493       2.69166       1.97417       1.67181
       178       2.70784     -0.725192       2.69935       1.97416        1.6527
       179       2.71471     -0.732048        2.7062       1.97416       1.63553
       180       2.72061     -0.737935       2.71208       1.97415       1.62073
       181       2.72544     -0.742748       2.71689       1.97415       1.60875
       182        2.7291     -0.746404       2.72055       1.97414       1.59939
       183       2.73154     -0.748842       2.72298       1.97414       1.59269
       184       2.73272     -0.750016       2.72415       1.97414       1.58924
       185       2.73261     -0.749911       2.72405       1.97414       1.58873
       186       2.73124      -0.74854       2.72268       1.97414        1.5912
       187       2.72864     -0.745946       2.72009       1.97414       1.59672
       188       2.72491     -0.742218       2.71637       1.97415       1.60462
       189       2.72018     -0.737494       2.71166       1.97416       1.61529
       190       2.71463     -0.731948       2.70612       1.97417       1.62798
       191       2.70847     -0.725797       2.69998       1.97419       1.64202
       192       2.70196     -0.719287       2.69349        1.9742       1.65732
       193       2.69534     -0.712676       2.68689       1.97421       1.67294
       194       2.68888     -0.706224       2.68045       1.97423       1.68829
       195       2.68283     -0.700177       2.67442       1.97424       1.70281
       196       2.67739     -0.694751         2.669       1.97425       1.71623
       197       2.67277     -0.690138        2.6644       1.97426       1.72794
       198       2.66913     -0.686501       2.66076       1.97426       1.73744
       199        2.6666     -0.683975       2.65824       1.97427       1.74443
       200        2.6653     -0.682669       2.65694       1.97427       1.74901
       201       2.66527     -0.682647       2.65692       1.97427       1.75064
       202       2.66654     -0.683911       2.65818       1.97427        1.7495
       203       2.66901     -0.686383       2.66064       1.97426       1.74581
       204        2.6725     -0.689886       2.66412       1.97424       1.73993
       205       2.67675     -0.694139       2.66835       1.97422        1.7324
       206       2.68139     -0.698793       2.67298       1.97419       1.72398
       207       2.68605     -0.703461       2.67763       1.97417       1.71552
       208       2.69034     -0.707761       2.68191       1.97415       1.70815
       209       2.69393     -0.711355       2.68549       1.97413       1.70243
       210       2.69655     -0.713981        2.6881       1.97412       1.69876
       211       2.69804     -0.715466       2.68958       1.97412       1.69764
       212       2.69831     -0.715728       2.68985       1.97412       1.69909
       213       2.69736     -0.714775        2.6889       1.97413       1.70333
       214       2.69527     -0.712689       2.68682       1.97414       1.71019
       215        2.6922     -0.709609       2.68376       1.97415       1.71943
       216       2.68831     -0.705721       2.67988       1.97416       1.73058
       217       2.68382     -0.701232       2.67541       1.97418       1.74295
       218       2.67894     -0.696355       2.67055       1.97419       1.75648
       219       2.67388     -0.691293        2.6655        1.9742       1.77043
       220       2.66879     -0.686217       2.66043       1.97421       1.78441
       221       2.66382     -0.681259       2.65547       1.97421       1.79806
       222       2.65906     -0.676507       2.65072       1.97422       1.81147
       223       2.65454     -0.672004       2.64622       1.97421       1.82422
       224       2.65028     -0.667758       2.64197       1.97421       1.83647
       225       2.64625     -0.663749       2.63796       1.97421       1.84811
       226       2.64244     -0.659948       2.63415       1.97421       1.85926
       227        2.6388     -0.656328       2.63053        1.9742       1.87006
       228       2.63534     -0.652876       2.62708        1.9742       1.88032
       229       2.63204     -0.649589       2.62379        1.9742       1.88998
       230       2.62891     -0.646473       2.62067        1.9742       1.89942
       231       2.62597     -0.643539       2.61774        1.9742       1.90832
       232       2.62321     -0.640792       2.61499        1.9742       1.91668
       233       2.62063     -0.638225       2.61242       1.97419       1.92463
       234       2.61821     -0.635813          2.61       1.97419       1.93209
       235       2.61591     -0.633521       2.60771       1.97419       1.93919
       236       2.61368     -0.631309       2.60549       1.97418       1.94588
       237       2.61151     -0.629144       2.60332       1.97418       1.95247
       238       2.60936     -0.627006       2.60118       1.97418       1.95874
       239       2.60724     -0.624896       2.59907       1.97417       1.96485
       240       2.60518     -0.622842       2.59702       1.97418       1.97091
       241       2.60323     -0.620897       2.59507       1.97418       1.97649
       242       2.60147      -0.61913       2.59331       1.97418       1.98119
       243       2.59996     -0.617625       2.59181       1.97418        1.9851
       244        2.5988      -0.61647       2.59066       1.97419       1.98819
       245       2.59809     -0.615758       2.58995       1.97419       1.99011
       246       2.59794     -0.615594       2.58979        1.9742       1.99052
       247       2.59845     -0.616098       2.59031       1.97421       1.98925
       248       2.59977     -0.617409       2.59162       1.97422       1.98595
       249       2.60205     -0.619671        2.5939       1.97423       1.98043
       250       2.60542     -0.623016       2.59725       1.97423        1.9723
       251       2.60995     -0.627534       2.60177       1.97423       1.96132
       252       2.61566     -0.633226       2.60746       1.97423       1.94748
       253       2.62242     -0.639982        2.6142       1.97422       1.93143
       254       2.63001     -0.647564       2.62176        1.9742       1.91314
       255       2.63808     -0.655632       2.62981       1.97417       1.89383
       256       2.64624     -0.663792       2.63794       1.97415        1.8742
       257       2.65409     -0.671637       2.64577       1.97413        1.8551
       258       2.66127      -0.67881       2.65292       1.97411       1.83734
       259        2.6675     -0.685033       2.65914       1.97411       1.82149
       260       2.67262     -0.690139       2.66425       1.97411       1.80823
       261       2.67657     -0.694069       2.66818       1.97411       1.79741
       262       2.67938     -0.696858       2.67098       1.97412       1.78944
       263       2.68116     -0.698616       2.67275       1.97414       1.78372
       264       2.68205     -0.699496       2.67365       1.97415       1.77995
       265       2.68224     -0.699674       2.67384       1.97416        1.7779
       266        2.6819      -0.69932       2.67349       1.97417       1.77729
       267       2.68116     -0.698575       2.67276       1.97418        1.7776
       268       2.68012     -0.697539       2.67172       1.97418       1.77916
       269       2.67884     -0.696257       2.67044       1.97418       1.78141
       270       2.67729     -0.694722        2.6689       1.97418       1.78448
       271       2.67545     -0.692888       2.66706       1.97417       1.78818
       272       2.67323     -0.690684       2.66485       1.97417       1.79348
       273       2.67057     -0.688031       2.66219       1.97416       1.79955
       274       2.66739     -0.684864       2.65902       1.97416       1.80698
       275       2.66366     -0.681155       2.65531       1.97416         1.816
       276       2.65942     -0.676918       2.65108       1.97416       1.82652
       277       2.65469     -0.672205       2.64637       1.97416       1.83817
       278       2.64957     -0.667093       2.64126       1.97417       1.85101
       279       2.64413     -0.661667       2.63584       1.97417       1.86448
       280       2.63844     -0.656003       2.63017       1.97417       1.87886
       281       2.63258     -0.650156       2.62433       1.97417       1.89359
       282       2.62657     -0.644164       2.61833       1.97417       1.90878
       283       2.62043     -0.638046       2.61222       1.97417       1.92441
       284        2.6142     -0.631831         2.606       1.97417       1.94014
       285       2.60791     -0.625564       2.59974       1.97417       1.95582
       286       2.60165      -0.61932        2.5935       1.97418       1.97143
       287       2.59552     -0.613203       2.58739       1.97418       1.98675
       288       2.58966     -0.607352       2.58155       1.97419       2.00139
       289       2.58424     -0.601938       2.57614        1.9742       2.01472
       290       2.57946     -0.597157       2.57138       1.97422       2.02663
       291       2.57553     -0.593226       2.56746       1.97423       2.03634
       292       2.57267     -0.590359       2.56461       1.97425       2.04343
       293       2.57107     -0.588751       2.56301       1.97426       2.04765
       294       2.57086     -0.588542        2.5628       1.97426       2.04853
       295       2.57211     -0.589787       2.56405       1.97426       2.04594
       296       2.57476     -0.592441       2.56669       1.97425        2.0401
       297       2.57868     -0.596356       2.57059       1.97424       2.03117
